№ указу,Дата указу,Посилання
497/2022,13.07.2022,https://www.president.gov.ua/documents/4972022-43305
492/2022,12.07.2022,https://www.president.gov.ua/documents/4922022-43265
493/2022,12.07.2022,https://www.president.gov.ua/documents/4932022-43285
487/2022,11.07.2022,https://www.president.gov.ua/documents/4872022-43261
476/2022,08.07.2022,https://www.president.gov.ua/documents/4762022-43225
473/2022,07.07.2022,https://www.president.gov.ua/documents/4732022-43213
470/2022,06.07.2022,https://www.president.gov.ua/documents/4702022-43209
471/2022,06.07.2022,https://www.president.gov.ua/documents/4712022-43201
472/2022,06.07.2022,https://www.president.gov.ua/documents/4722022-43205
463/2022,04.07.2022,https://www.president.gov.ua/documents/4632022-43125
468/2022,04.07.2022,https://www.president.gov.ua/documents/4682022-43105
461/2022,01.07.2022,https://www.president.gov.ua/documents/4612022-43097
462/2022,01.07.2022,https://www.president.gov.ua/documents/4622022-43101
460/2022,30.06.2022,https://www.president.gov.ua/documents/4602022-43093
449/2022,28.06.2022,https://www.president.gov.ua/documents/4492022-43077
447/2022,26.06.2022,https://www.president.gov.ua/documents/4472022-43001
437/2022,24.06.2022,https://www.president.gov.ua/documents/4372022-42993
433/2022,22.06.2022,https://www.president.gov.ua/documents/4332022-42961
431/2022,21.06.2022,https://www.president.gov.ua/documents/4312022-42957
432/2022,21.06.2022,https://www.president.gov.ua/documents/4322022-42953
429/2022,20.06.2022,https://www.president.gov.ua/documents/4292022-42949
427/2022,18.06.2022,https://www.president.gov.ua/documents/4272022-42937
417/2022,17.06.2022,https://www.president.gov.ua/documents/4172022-42917
418/2022,17.06.2022,https://www.president.gov.ua/documents/4182022-42921
419/2022,17.06.2022,https://www.president.gov.ua/documents/4192022-42929
425/2022,17.06.2022,https://www.president.gov.ua/documents/4252022-42925
409/2022,15.06.2022,https://www.president.gov.ua/documents/4092022-42857
414/2022,15.06.2022,https://www.president.gov.ua/documents/4142022-42885
415/2022,15.06.2022,https://www.president.gov.ua/documents/4152022-42889
416/2022,15.06.2022,https://www.president.gov.ua/documents/4162022-42893
404/2022,10.06.2022,https://www.president.gov.ua/documents/4042022-42829
405/2022,10.06.2022,https://www.president.gov.ua/documents/4052022-42833
397/2022,08.06.2022,https://www.president.gov.ua/documents/3972022-42801
396/2022,07.06.2022,https://www.president.gov.ua/documents/3962022-42797
394/2022,06.06.2022,https://www.president.gov.ua/documents/3942022-42773
395/2022,06.06.2022,https://www.president.gov.ua/documents/3952022-42789
393/2022,05.06.2022,https://www.president.gov.ua/documents/3932022-42785
391/2022,04.06.2022,https://www.president.gov.ua/documents/3912022-42777
385/2022,03.06.2022,https://www.president.gov.ua/documents/3852022-42761
390/2022,03.06.2022,https://www.president.gov.ua/documents/3902022-42769
384/2022,02.06.2022,https://www.president.gov.ua/documents/3842022-42765
381/2022,01.06.2022,https://www.president.gov.ua/documents/3812022-42721
382/2022,01.06.2022,https://www.president.gov.ua/documents/3822022-42725
379/2022,31.05.2022,https://www.president.gov.ua/documents/3792022-42713
376/2022,28.05.2022,https://www.president.gov.ua/documents/3762022-42709
373/2022,27.05.2022,https://www.president.gov.ua/documents/3732022-42685
375/2022,27.05.2022,https://www.president.gov.ua/documents/3752022-42693
372/2022,26.05.2022,https://www.president.gov.ua/documents/3722022-42689
370/2022,25.05.2022,https://www.president.gov.ua/documents/3702022-42637
366/2022,24.05.2022,https://www.president.gov.ua/documents/3662022-42653
367/2022,24.05.2022,https://www.president.gov.ua/documents/3672022-42661
368/2022,24.05.2022,https://www.president.gov.ua/documents/3682022-42665
360/2022,23.05.2022,https://www.president.gov.ua/documents/3602022-42649
357/2022,22.05.2022,https://www.president.gov.ua/documents/3572022-42629
358/2022,22.05.2022,https://www.president.gov.ua/documents/3582022-42625
359/2022,22.05.2022,https://www.president.gov.ua/documents/3592022-42645
349/2022,19.05.2022,https://www.president.gov.ua/documents/3492022-42593
347/2022,18.05.2022,https://www.president.gov.ua/documents/3472022-42581
348/2022,18.05.2022,https://www.president.gov.ua/documents/3482022-42589
343/2022,17.05.2022,https://www.president.gov.ua/documents/3432022-42565
340/2022,16.05.2022,https://www.president.gov.ua/documents/3402022-42557
334/2022,14.05.2022,https://www.president.gov.ua/documents/3342022-42533
332/2022,12.05.2022,https://www.president.gov.ua/documents/3322022-42513
328/2022,11.05.2022,https://www.president.gov.ua/documents/3282022-42493
329/2022,11.05.2022,https://www.president.gov.ua/documents/3292022-42497
331/2022,11.05.2022,https://www.president.gov.ua/documents/3312022-42509
323/2022,08.05.2022,https://www.president.gov.ua/documents/3232022-42477
320/2022,07.05.2022,https://www.president.gov.ua/documents/3202022-42469
312/2022,05.05.2022,https://www.president.gov.ua/documents/3122022-42433
313/2022,05.05.2022,https://www.president.gov.ua/documents/3132022-42437
308/2022,04.05.2022,https://www.president.gov.ua/documents/3082022-42417
295/2022,03.05.2022,https://www.president.gov.ua/documents/2952022-42365
292/2022,02.05.2022,https://www.president.gov.ua/documents/2922022-42345
293/2022,02.05.2022,https://www.president.gov.ua/documents/2932022-42349
289/2022,30.04.2022,https://www.president.gov.ua/documents/2892022-42337
290/2022,30.04.2022,https://www.president.gov.ua/documents/2902022-42329
286/2022,29.04.2022,https://www.president.gov.ua/documents/2862022-42845
284/2022,28.04.2022,https://www.president.gov.ua/documents/2842022-42309
283/2022,27.04.2022,https://www.president.gov.ua/documents/2832022-42305
279/2022,26.04.2022,https://www.president.gov.ua/documents/2792022-42289
280/2022,26.04.2022,https://www.president.gov.ua/documents/2802022-42293
281/2022,26.04.2022,https://www.president.gov.ua/documents/2812022-42297
276/2022,25.04.2022,https://www.president.gov.ua/documents/2762022-42281
278/2022,25.04.2022,https://www.president.gov.ua/documents/2782022-42285
272/2022,24.04.2022,https://www.president.gov.ua/documents/2722022-42253
270/2022,23.04.2022,https://www.president.gov.ua/documents/2702022-42245
268/2022,21.04.2022,https://www.president.gov.ua/documents/2682022-42233
265/2022,20.04.2022,https://www.president.gov.ua/documents/2652022-42221
263/2022,19.04.2022,https://www.president.gov.ua/documents/2632022-42209
261/2022,18.04.2022,https://www.president.gov.ua/documents/2612022-42201
262/2022,18.04.2022,https://www.president.gov.ua/documents/2622022-42205
254/2022,17.04.2022,https://www.president.gov.ua/documents/2542022-42161
255/2022,17.04.2022,https://www.president.gov.ua/documents/2552022-42165
256/2022,17.04.2022,https://www.president.gov.ua/documents/2562022-42169
243/2022,16.04.2022,https://www.president.gov.ua/documents/2432022-42137
247/2022,16.04.2022,https://www.president.gov.ua/documents/2472022-42145
242/2022,15.04.2022,https://www.president.gov.ua/documents/2422022-42133
240/2022,14.04.2022,https://www.president.gov.ua/documents/2402022-42125
236/2022,13.04.2022,https://www.president.gov.ua/documents/2362022-42109
238/2022,13.04.2022,https://www.president.gov.ua/documents/2382022-42117
229/2022,11.04.2022,https://www.president.gov.ua/documents/2292022-42089
226/2022,10.04.2022,https://www.president.gov.ua/documents/2262022-42081
223/2022,09.04.2022,https://www.president.gov.ua/documents/2232022-42057
224/2022,09.04.2022,https://www.president.gov.ua/documents/2242022-42061
220/2022,07.04.2022,https://www.president.gov.ua/documents/2202022-42049
216/2022,06.04.2022,https://www.president.gov.ua/documents/2162022-42041
214/2022,05.04.2022,https://www.president.gov.ua/documents/2142022-42033
215/2022,05.04.2022,https://www.president.gov.ua/documents/2152022-42037
210/2022,04.04.2022,https://www.president.gov.ua/documents/2102022-42017
212/2022,04.04.2022,https://www.president.gov.ua/documents/2122022-42025
202/2022,02.04.2022,https://www.president.gov.ua/documents/2022022-41989
203/2022,02.04.2022,https://www.president.gov.ua/documents/2032022-41993
204/2022,02.04.2022,https://www.president.gov.ua/documents/2042022-41997
205/2022,02.04.2022,https://www.president.gov.ua/documents/2052022-42001
200/2022,01.04.2022,https://www.president.gov.ua/documents/2002022-41981
194/2022,31.03.2022,https://www.president.gov.ua/documents/1942022-41961
190/2022,30.03.2022,https://www.president.gov.ua/documents/1902022-41941
186/2022,29.03.2022,https://www.president.gov.ua/documents/1862022-41893
187/2022,29.03.2022,https://www.president.gov.ua/documents/1872022-41897
180/2022,28.03.2022,https://www.president.gov.ua/documents/1802022-41869
182/2022,28.03.2022,https://www.president.gov.ua/documents/1822022-41877
183/2022,28.03.2022,https://www.president.gov.ua/documents/1832022-41881
184/2022,28.03.2022,https://www.president.gov.ua/documents/1842022-41885
175/2022,26.03.2022,https://www.president.gov.ua/documents/1752022-41841
178/2022,26.03.2022,https://www.president.gov.ua/documents/1782022-41857
168/2022,25.03.2022,https://www.president.gov.ua/documents/1682022-41813
169/2022,25.03.2022,https://www.president.gov.ua/documents/1692022-41817
160/2022,24.03.2022,https://www.president.gov.ua/documents/1602022-41789
165/2022,24.03.2022,https://www.president.gov.ua/documents/1652022-41801
166/2022,24.03.2022,https://www.president.gov.ua/documents/1662022-41805
158/2022,23.03.2022,https://www.president.gov.ua/documents/1582022-41781
157/2022,22.03.2022,https://www.president.gov.ua/documents/1572022-41777
149/2022,19.03.2022,https://www.president.gov.ua/documents/1492022-41749
145/2022,18.03.2022,https://www.president.gov.ua/documents/1452022-41741
144/2022,17.03.2022,https://www.president.gov.ua/documents/1442022-41733
140/2022,16.03.2022,https://www.president.gov.ua/documents/1402022-41717
141/2022,16.03.2022,https://www.president.gov.ua/documents/1412022-41721
134/2022,14.03.2022,https://www.president.gov.ua/documents/1342022-41693
131/2022,13.03.2022,https://www.president.gov.ua/documents/1312022-41685
128/2022,12.03.2022,https://www.president.gov.ua/documents/1282022-41665
123/2022,10.03.2022,https://www.president.gov.ua/documents/1232022-41637
124/2022,10.03.2022,https://www.president.gov.ua/documents/1242022-41641
117/2022,08.03.2022,https://www.president.gov.ua/documents/1172022-41613
113/2022,07.03.2022,https://www.president.gov.ua/documents/1132022-41597
112/2022,06.03.2022,https://www.president.gov.ua/documents/1122022-41581
105/2022,04.03.2022,https://www.president.gov.ua/documents/1052022-41553
79/2022,28.02.2022,https://www.president.gov.ua/documents/792022-41445
